#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
0;27/08/2026 13:42:53;IRP_MJ_CREATE;DOWN;;;"C:\Program Files (x86)\CC\SolarPowerMonitor\SolarMonitor.exe";;;COM3;;
1;27/08/2026 13:42:53;IRP_MJ_CREATE;UP;STATUS_SUCCESS;;"C:\Program Files (x86)\CC\SolarPowerMonitor\SolarMonitor.exe";;;COM3;;
2;27/08/2026 13:42:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_PROPERTIES);DOWN;;;"";;;COM3;;
3;27/08/2026 13:42:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_PROPERTIES);UP;STATUS_SUCCESS;40 00 02 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 01 00 00 00 ff 00 00 00 7f 00 00 00 ff ff 07 10 0f 00 07 1f 00 00 00 00 d8 0c 01 00 00 00 00 00 23 55 48 43 00 00 00 00 ;"@...........................ˇ......ˇˇ..........ÿ.......#UHC....";64;;COM3;;
4;27/08/2026 13:42:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_MODEMSTATUS);DOWN;;;"";;;COM3;;
5;27/08/2026 13:42:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_MODEMSTATUS);UP;STATUS_SUCCESS;00 00 00 00 ;"....";4;;COM3;;
6;27/08/2026 13:42:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;;;"";;;COM3;;
7;27/08/2026 13:42:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);UP;STATUS_SUCCESS;00 4b 00 00 ;".K..";4;;COM3;;
8;27/08/2026 13:42:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);DOWN;;;"";;;COM3;;
9;27/08/2026 13:42:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_LINE_CONTROL);UP;STATUS_SUCCESS;00 00 08 ;"...";3;;COM3;;
10;27/08/2026 13:42:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);DOWN;;;"";;;COM3;;
11;27/08/2026 13:42:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_CHARS);UP;STATUS_SUCCESS;1a 00 00 1a 11 13 ;"......";6;;COM3;;
12;27/08/2026 13:42:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);DOWN;;;"";;;COM3;;
13;27/08/2026 13:42:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_HANDFLOW);UP;STATUS_SUCCESS;00 00 00 00 00 00 00 00 6c 86 00 00 9b 21 00 00 ;"........lÜ..õ!..";16;;COM3;;
14;27/08/2026 13:42:53;IRP_MJ_DEVICE_CONTROL (IOCTL_SERIAL_GET_BAUD_RATE);DOWN;;;"";;;COM3;;
